node1,node2,timestamp,msg1call0
35227,68494,1354433700,1
35227,97933,1354433700,1
35227,68494,1354433700,1
68494,35227,1354433700,1
57637,66754,1354433760,1
68494,35227,1354433760,1
57637,66754,1354433760,1
48990,71518,1354433820,1
35227,68494,1354433820,1
48990,71518,1354433820,1
35227,68494,1354433880,1
97933,68494,1354434060,0
68494,35227,1354434120,1
97933,35227,1354434180,1
35227,97933,1354434180,1
35227,68494,1354434240,1
82060,86610,1354434300,0
35227,68494,1354434600,0
71518,48990,1354434720,1
48990,71518,1354434780,1
71518,48990,1354435080,1
48990,71518,1354435140,1
71518,48990,1354435200,1
71518,48990,1354435260,1
48990,71518,1354435320,1
35227,68494,1354435320,1
48990,71518,1354435320,1
68494,35227,1354435380,1
35227,68494,1354435380,1
35227,97933,1354435440,1
35227,68494,1354435440,1
97933,35227,1354435560,1
84841,96124,1354435560,1
23144,57637,1354435740,1
23144,57637,1354435800,1
57637,23144,1354435800,1
57637,23144,1354435860,1
23144,57637,1354435920,1
57637,23144,1354435920,1
35227,97933,1354435980,1
35227,68494,1354436340,1
97933,35227,1354436460,1
35227,97933,1354436460,1
68494,35227,1354436460,1
35227,68494,1354436520,1
35227,68494,1354436580,1
68494,35227,1354436700,1
35227,68494,1354436760,1
71518,48990,1354436760,1
48990,71518,1354436820,1
71518,48990,1354436940,1
68494,35227,1354437000,0
68494,35227,1354437060,0
48990,71518,1354437120,0
48990,71518,1354437300,1
48990,71518,1354437360,1
40997,11360,1354437420,1
71518,48990,1354437780,1
40997,11360,1354437900,1
40997,11360,1354437960,1
40997,11360,1354438020,1
48990,71518,1354438140,1
97655,26999,1354438140,1
48990,71518,1354438260,1
26999,97655,1354438320,1
97655,26999,1354438320,1
46771,46584,1354438380,1
26999,97655,1354438440,1
97655,26999,1354438620,1
96124,84841,1354438920,1
84841,96124,1354438980,1
45539,13799,1354439100,1
13799,45539,1354439160,1
74916,18394,1354439220,1
18394,74916,1354439280,1
45539,13799,1354439280,1
74916,18394,1354439280,1
74916,18394,1354439340,1
35227,68494,1354439340,0
13799,45539,1354439340,1
13799,45539,1354439400,1
45539,13799,1354439460,1
13799,45539,1354439520,1
45539,13799,1354439760,1
45539,13799,1354439820,1
13799,45539,1354439880,1
45539,13799,1354439940,1
13799,45539,1354440000,1
13799,45539,1354440060,1
45539,13799,1354440060,1
45539,13799,1354440120,1
13799,45539,1354440180,1
18394,74916,1354440180,1
13799,45539,1354440180,1
45539,13799,1354440300,1
45539,13799,1354440360,1
18394,74916,1354440360,1
18394,74916,1354440420,1
13799,45539,1354440420,1
45539,13799,1354440540,1
13799,45539,1354440540,1
74916,18394,1354440540,1
13799,45539,1354440540,1
74916,18394,1354440600,1
19844,46584,1354440660,1
92699,86009,1354440720,1
18394,74916,1354440720,1
46584,19844,1354440780,1
18394,74916,1354440780,1
46584,19844,1354440780,1
35227,68494,1354440780,1
35227,68494,1354440840,1
74916,18394,1354440900,1
18394,74916,1354441140,1
18394,74916,1354441200,1
19844,46584,1354441200,1
74916,18394,1354441200,1
35227,68494,1354441260,0
46584,19844,1354441260,1
19844,46584,1354441320,1
19844,46584,1354441380,1
46584,19844,1354441860,1
